rarity_etypes	rarity_lambda	rarity_idf_cap	base_auroc	base_auprc	rarity_auroc	rarity_auprc	base_thr@0.01	base_prec@0.01	base_rec@0.01	base_f1@0.01	rarity_thr@0.01	rarity_prec@0.01	rarity_rec@0.01	rarity_f1@0.01	base_thr@0.05	base_prec@0.05	base_rec@0.05	base_f1@0.05	rarity_thr@0.05	rarity_prec@0.05	rarity_rec@0.05	rarity_f1@0.05	base_thr@0.10	base_prec@0.10	base_rec@0.10	base_f1@0.10	rarity_thr@0.10	rarity_prec@0.10	rarity_rec@0.10	rarity_f1@0.10	returncode
	0.1	0.0	0.2787	0.3924	0.8614	0.8663	5e-324	nan	0.0	nan	0.808703	0.9807	0.3526	0.5187	5e-324	nan	0.0	nan	0.806675	0.8802	0.3573	0.5082	5e-324	nan	0.0	nan	0.7852	0.8501	0.534	0.6559	0
	0.1	2.0	0.2787	0.3924	0.5981	0.5759	5e-324	nan	0.0	nan	0.2	nan	0.0	nan	5e-324	nan	0.0	nan	0.2	nan	0.0	nan	5e-324	nan	0.0	nan	0.2	nan	0.0	nan	0
	0.1	5.0	0.2787	0.3924	0.6539	0.6213	5e-324	nan	0.0	nan	0.5	nan	0.0	nan	5e-324	nan	0.0	nan	0.5	0.6976	0.1103	0.1905	5e-324	nan	0.0	nan	0.5	0.6116	0.1628	0.2572	0
	0.3	0.0	0.2787	0.3924	0.8756	0.8800	5e-324	nan	0.0	nan	2.42611	1.0	0.3812	0.552	5e-324	nan	0.0	nan	2.42003	0.8908	0.3966	0.5489	5e-324	nan	0.0	nan	2.35743	0.8586	0.581	0.6931	0
	0.3	2.0	0.2787	0.3924	0.5989	0.5765	5e-324	nan	0.0	nan	0.6	nan	0.0	nan	5e-324	nan	0.0	nan	0.6	nan	0.0	nan	5e-324	nan	0.0	nan	0.6	nan	0.0	nan	0
	0.3	5.0	0.2787	0.3924	0.6545	0.6204	5e-324	nan	0.0	nan	1.5	nan	0.0	nan	5e-324	nan	0.0	nan	1.5	0.6976	0.1103	0.1905	5e-324	nan	0.0	nan	1.5	0.6116	0.1628	0.2572	0
	0.5	0.0	0.2787	0.3924	0.8755	0.8832	5e-324	nan	0.0	nan	4.04351	1.0	0.4244	0.5959	5e-324	nan	0.0	nan	4.03338	0.8986	0.4306	0.5822	5e-324	nan	0.0	nan	3.94672	0.8557	0.5856	0.6954	0
	0.5	2.0	0.2787	0.3924	0.5993	0.5767	5e-324	nan	0.0	nan	1.0	nan	0.0	nan	5e-324	nan	0.0	nan	1.0	nan	0.0	nan	5e-324	nan	0.0	nan	1.0	nan	0.0	nan	0
	0.5	5.0	0.2787	0.3924	0.6506	0.6187	5e-324	nan	0.0	nan	2.5	nan	0.0	nan	5e-324	nan	0.0	nan	2.5	0.6976	0.1103	0.1905	5e-324	nan	0.0	nan	2.5	0.6116	0.1628	0.2572	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.1	0.0	0.2787	0.3924	0.4820	0.5000	5e-324	nan	0.0	nan	0.0216023	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.0216023	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.00657419	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.1	2.0	0.2787	0.3924	0.4813	0.4900	5e-324	nan	0.0	nan	0.0165742	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.0165742	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.00657419	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.1	5.0	0.2787	0.3924	0.4820	0.4960	5e-324	nan	0.0	nan	0.0216023	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.0216023	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.00657419	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.3	0.0	0.2787	0.3924	0.4822	0.5001	5e-324	nan	0.0	nan	0.0648069	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.0648069	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.0197226	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.3	2.0	0.2787	0.3924	0.4815	0.4901	5e-324	nan	0.0	nan	0.0497226	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.0497226	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.0197226	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.3	5.0	0.2787	0.3924	0.4822	0.4962	5e-324	nan	0.0	nan	0.0648069	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.0648069	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.0197226	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.5	0.0	0.2787	0.3924	0.4822	0.5002	5e-324	nan	0.0	nan	0.108011	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.108011	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.032871	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.5	2.0	0.2787	0.3924	0.4815	0.4902	5e-324	nan	0.0	nan	0.082871	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.082871	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.032871	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET	0.5	5.0	0.2787	0.3924	0.4822	0.4962	5e-324	nan	0.0	nan	0.108011	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.108011	0.72	0.0139	0.0273	5e-324	nan	0.0	nan	0.032871	0.367	0.0309	0.0569	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.1	0.0	0.2787	0.3924	0.6133	0.6520	5e-324	nan	0.0	nan	0.212338	0.8545	0.0725	0.1337	5e-324	nan	0.0	nan	0.182129	0.7724	0.186	0.2998	5e-324	nan	0.0	nan	0.159309	0.7164	0.2631	0.3849	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.1	2.0	0.2787	0.3924	0.4818	0.4909	5e-324	nan	0.0	nan	0.0965742	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.0865742	0.2593	0.0108	0.0207	5e-324	nan	0.0	nan	0.0851985	0.3592	0.0571	0.0985	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.1	5.0	0.2787	0.3924	0.5901	0.6076	5e-324	nan	0.0	nan	0.19373	0.7945	0.0448	0.0847	5e-324	nan	0.0	nan	0.174371	0.7385	0.1481	0.2468	5e-324	nan	0.0	nan	0.154482	0.6588	0.216	0.3254	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.3	0.0	0.2787	0.3924	0.6132	0.6520	5e-324	nan	0.0	nan	0.637015	0.8545	0.0725	0.1337	5e-324	nan	0.0	nan	0.546386	0.7724	0.186	0.2998	5e-324	nan	0.0	nan	0.477928	0.7164	0.2631	0.3849	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.3	2.0	0.2787	0.3924	0.4816	0.4908	5e-324	nan	0.0	nan	0.289723	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.259723	0.2593	0.0108	0.0207	5e-324	nan	0.0	nan	0.255595	0.3592	0.0571	0.0985	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.3	5.0	0.2787	0.3924	0.5900	0.6076	5e-324	nan	0.0	nan	0.581471	0.7945	0.0448	0.0847	5e-324	nan	0.0	nan	0.523202	0.7385	0.1481	0.2468	5e-324	nan	0.0	nan	0.463446	0.6588	0.216	0.3254	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.5	0.0	0.2787	0.3924	0.6132	0.6520	5e-324	nan	0.0	nan	1.06169	0.8545	0.0725	0.1337	5e-324	nan	0.0	nan	0.910643	0.7724	0.186	0.2998	5e-324	nan	0.0	nan	0.796547	0.7164	0.2631	0.3849	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.5	2.0	0.2787	0.3924	0.4815	0.4908	5e-324	nan	0.0	nan	0.482871	0.0	0.0	0.0	5e-324	nan	0.0	nan	0.432871	0.2593	0.0108	0.0207	5e-324	nan	0.0	nan	0.425992	0.3592	0.0571	0.0985	0
PROC|DNS_QUERY|NET,PROC|RESOLVE|NET,PROC|CONNECT|NET,PROC|EXEC|CMD	0.5	5.0	0.2787	0.3924	0.5900	0.6076	5e-324	nan	0.0	nan	0.969118	0.7945	0.0448	0.0847	5e-324	nan	0.0	nan	0.872004	0.7385	0.1481	0.2468	5e-324	nan	0.0	nan	0.77241	0.6588	0.216	0.3254	0
