dataset	package	graph_path	method	method_label	rank	score	etype	src	dst	suggested_level	suggested_rationale	evidence_level	annotator_note
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	raw_explainer	Raw explainer	1	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/package.json	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	raw_explainer	Raw explainer	2	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/snapshot.js	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	raw_explainer	Raw explainer	3	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/index.js	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	raw_explainer	Raw explainer	4	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/key.js	contextual	File path offers investigation context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	raw_explainer	Raw explainer	5	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/root.js	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering	Filtering	1	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/package.json	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering	Filtering	2	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/snapshot.js	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering	Filtering	3	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/index.js	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering	Filtering	4	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/key.js	contextual	File path offers investigation context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering	Filtering	5	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/root.js	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering_rarity	Filtering + rarity	1	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/package.json	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering_rarity	Filtering + rarity	2	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/snapshot.js	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering_rarity	Filtering + rarity	3	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/index.js	contextual	File artifact is supporting context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering_rarity	Filtering + rarity	4	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/key.js	contextual	File path offers investigation context.		
osp	npm::amplify-e2e-core@0.0.1-security	artifacts/osp_all/npm::amplify-e2e-core@0.0.1-security.graph.pt	filtering_rarity	Filtering + rarity	5	-2.7183153e-06	PROC|READ|FILE	PROC:npm::amplify-e2e-core@0.0.1-security::proc::install	FILE:npm::amplify-e2e-core@0.0.1-security::file::dist/root.js	contextual	File artifact is supporting context.		
osp	npm::aoe_playstyle@0.0.1-security	artifacts/osp_all/npm::aoe_playstyle@0.0.1-security.graph.pt	raw_explainer	Raw explainer	1	-2.7183153e-06	PROC|READ|FILE	PROC:npm::aoe_playstyle@0.0.1-security::proc::install	FILE:npm::aoe_playstyle@0.0.1-security::file::dist/target.js	contextual	File artifact is supporting context.		
osp	npm::aoe_playstyle@0.0.1-security	artifacts/osp_all/npm::aoe_playstyle@0.0.1-security.graph.pt	raw_explainer	Raw explainer	2	-2.7183153e-06	PROC|READ|FILE	PROC:npm::aoe_playstyle@0.0.1-security::proc::install	FILE:npm::aoe_playstyle@0.0.1-security::file::lib/optional-set.js	contextual	File artifact is supporting context.		
osp	npm::aoe_playstyle@0.0.1-security	artifacts/osp_all/npm::aoe_playstyle@0.0.1-security.graph.pt	raw_explainer	Raw explainer	3	-2.7183153e-06	PROC|READ|FILE	PROC:npm::aoe_playstyle@0.0.1-security::proc::install	FILE:npm::aoe_playstyle@0.0.1-security::file::witness/package.json	contextual	File artifact is supporting context.		
osp	npm::aoe_playstyle@0.0.1-security	artifacts/osp_all/npm::aoe_playstyle@0.0.1-security.graph.pt	raw_explainer	Raw explainer	4	-2.7183153e-06	PROC|READ|FILE	PROC:npm::aoe_playstyle@0.0.1-security::proc::install	FILE:npm::aoe_playstyle@0.0.1-security::file::lib/override-set.js	contextual	File artifact is supporting context.		
